W/S,W/S max,check W/S max,AR,t/c,sweep25,M,lambda,WTO,CL_crociera,CD,E,T,S,b,check b,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_fuel,V_fuel,W_payload
550,669.7000213,VERO,11,0.1,30,0.8,0.23,83445.10388,0.455463518,0.02611482,17.44080626,22659.85155,151.6918489,40.84862712,FALSO,45646.98943,10974.24539,8211.217291,1676.4035,3366.376327,4395.48653,844.9591146,1629.095417,1372.570512,88.87493703,580.6277054,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,17653.11444,22066.39306,20145
550,633.4527129,VERO,11,0.12,35,0.82,0.31,84332.19445,0.433516733,0.026457678,16.38529038,23371.87715,153.3017202,41.06481367,FALSO,45851.1256,10917.55467,8211.217291,1694.194791,3405.340737,4536.785783,895.6328718,1646.168014,1372.570512,89.81814663,581.6601425,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,18336.06884,22920.08605,20145
550,633.4527129,VERO,11,0.12,35,0.82,0.27,84141.70452,0.433516733,0.02649486,16.36229557,23353.14996,152.9565962,41.01856358,FALSO,45684.0539,10771.22203,8211.217291,1690.380697,3396.987548,4533.067749,894.6685069,1642.507993,1372.570512,89.61594151,581.6329881,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,18312.65062,22890.81327,20145
550,633.4527129,VERO,11,0.12,35,0.82,0.23,83963.10061,0.433516733,0.026548964,16.3289509,23360.9887,152.6329544,40.97514489,FALSO,45518.27105,10619.80867,8211.217291,1686.80401,3389.154303,4534.624015,893.7631362,1639.07579,1372.570512,89.42632259,581.6443543,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,18299.82956,22874.78695,20145
550,633.4527129,VERO,10,0.1,35,0.8,0.31,84618.00901,0.455463518,0.026582866,17.13372497,24418.23883,153.8187602,39.21973485,FALSO,46350.94853,11215.52218,8211.217291,1699.908794,3417.854893,4744.669234,857.123279,1651.651195,1372.570512,90.1210759,583.177367,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,18122.06048,22652.5756,20145
550,633.4527129,VERO,11,0.12,35,0.8,0.31,83805.82254,0.455463518,0.026586252,17.13154279,23235.16944,152.3467912,40.93671583,FALSO,45710.59708,10844.43713,8211.217291,1683.641513,3382.228171,4509.64636,892.9617745,1636.041044,1372.570512,89.25866203,581.4619164,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,17950.22546,22437.78183,20145
550,633.4527129,VERO,10,0.1,35,0.8,0.27,84416.7543,0.455463518,0.026622896,17.10796279,24394.4987,153.4542187,39.17323305,FALSO,46173.78122,11061.01182,8211.217291,1695.88011,3409.031729,4739.949653,856.151701,1647.785253,1372.570512,89.90749422,583.1429438,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,18097.97308,22622.46635,20145
550,633.4527129,VERO,11,0.12,35,0.8,0.27,83619.19258,0.455463518,0.026625539,17.10626458,23217.24876,152.0086009,40.89125347,FALSO,45545.47837,10699.55722,8211.217291,1679.904045,3374.042808,4506.089074,892.0137045,1632.454555,1372.570512,89.06051928,581.4359314,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,17928.71422,22410.89277,20145
550,633.4527129,VERO,10,0.1,35,0.8,0.23,84228.06658,0.455463518,0.026681448,17.07041951,24397.70626,153.1123454,39.12957263,FALSO,45997.89579,10901.27488,8211.217291,1692.101939,3400.757215,4740.587313,855.2394428,1644.159705,1372.570512,89.7071936,583.1475948,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,18085.17079,22606.46349,20145
550,633.4527129,VERO,11,0.12,35,0.8,0.23,83445.36032,0.455463518,0.026683311,17.06922817,23225.99249,151.6935388,40.84885466,FALSO,45381.90781,10549.75583,8211.217291,1676.422176,3366.41723,4507.824709,891.1294801,1629.113339,1372.570512,88.87592716,581.4486098,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,17918.45251,22398.06563,20145
550,669.7000213,VERO,10,0.1,30,0.82,0.31,83689.93917,0.433516733,0.0266944,16.23998795,23571.98994,152.1376893,39.00483166,FALSO,45235.06961,10402.70888,8211.217291,1681.330649,3377.167189,4576.521159,808.4613017,1633.82353,1372.570512,89.13615105,581.9503061,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,18309.86956,22887.33695,20145
550,669.7000213,VERO,10,0.1,30,0.82,0.27,83517.47588,0.433516733,0.026729165,16.21886538,23555.30161,151.825121,38.96474317,FALSO,45083.67421,10269.9636,8211.217291,1677.87634,3369.601968,4573.207049,807.6669218,1630.508761,1372.570512,88.95302001,581.926108,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,18288.80166,22861.00208,20145
550,669.7000213,VERO,10,0.1,30,0.82,0.23,83356.2087,0.433516733,0.026779922,16.18812509,23563.63238,151.5328023,38.92721443,FALSO,44933.51054,10132.45407,8211.217291,1674.645816,3362.526857,4574.861434,806.9232324,1627.408737,1372.570512,88.78175302,581.9381876,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,18277.69817,22847.12271,20145
550,669.7000213,VERO,10,0.1,30,0.8,0.31,83136.62281,0.455463518,0.026789344,17.00166744,23425.71509,151.1336724,38.87591444,FALSO,45090.14321,10329.27747,8211.217291,1670.234882,3352.866554,4547.475096,805.9065937,1623.175985,1372.570512,88.54790625,581.7382075,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,17901.4796,22376.8495,20145
550,669.7000213,VERO,10,0.1,30,0.8,0.27,82967.83236,0.455463518,0.026826098,16.97837364,23409.80255,150.8277069,38.83654296,FALSO,44940.5961,10197.90392,8211.217291,1666.853543,3345.461151,4544.315646,805.1263085,1619.931239,1372.570512,88.36864375,581.7151344,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,17882.23626,22352.79532,20145
550,633.4527129,VERO,9,0.1,35,0.82,0.31,84062.44365,0.433516733,0.026840539,16.15156555,25474.89508,152.8140082,37.08538895,FALSO,45456.18315,10207.28098,8211.217291,1688.804903,3393.536428,4954.876213,812.4764008,1640.995855,1372.570512,89.53240043,584.7095185,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,18461.26051,23076.57563,20145
550,633.4527129,VERO,9,0.1,35,0.82,0.27,83899.66421,0.433516733,0.026875747,16.13040674,25459.14552,152.5190205,37.04957738,FALSO,45312.22063,10080.92743,8211.217291,1685.544883,3386.396711,4951.741041,811.7263367,1637.867526,1372.570512,89.35956968,584.6866817,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,18442.44359,23053.05448,20145
550,669.7000213,VERO,10,0.1,30,0.8,0.23,82811.08112,0.455463518,0.026880322,16.94412405,23418.99344,150.5435126,38.79993719,FALSO,44792.51696,10061.91169,8211.217291,1663.712805,3338.582685,4546.140499,804.4008043,1616.917373,1372.570512,88.20213676,581.7284612,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,17873.56416,22341.9552,20145
550,633.4527129,VERO,9,0.1,35,0.82,0.23,83749.95084,0.433516733,0.026927761,16.099249,25470.56902,152.2476483,37.01660214,FALSO,45170.52364,9950.234629,8211.217291,1682.545847,3379.828572,4954.015043,811.0356505,1634.989639,1372.570512,89.20057505,584.7032457,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,18434.4272,23043.034,20145
