W_S,W_S_max,AR,t_c,sweep25,M,lambda,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,Cdw,E_crociera,T,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,maintenance_cost,DOC,PREE
650,726.6670994,10,0.1,20,0.76,0.23,77750.13661,119.5900312,34.58179162,6.379393234,21.52620561,29.89750779,0.601940915,0.037873222,0.023579675,0.012612316,0.001681231,15.89357565,24340.68677,41722.0962,7556.866994,8211.217291,1262.894974,3115.674381,5095.063442,666.4891472,1266.493878,1372.570512,70.06676078,583.0649165,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,18153.04041,22691.30051,15569.89567,17875,80.94760064,4667.974324,965.1879532,0.039967559,0.430518299
650,726.6670994,10,0.1,20,0.76,0.27,77871.09736,119.7746041,34.60846777,6.182592494,21.55942874,29.94365103,0.601940915,0.037819529,0.023587542,0.012550757,0.001681231,15.91613974,24378.25372,41833.15286,7649.881765,8211.217291,1264.844102,3120.95386,5103.299432,666.9806424,1268.417057,1372.570512,70.17490048,583.1193886,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,18162.9445,22703.68062,15578.66039,17875,81.10221405,4669.760736,966.714019,0.039991061,0.430276085
650,700.8505081,10,0.1,25,0.76,0.23,78452.26019,120.6649392,34.73685927,6.404153618,21.71968905,30.16623479,0.601940915,0.037424674,0.023634257,0.013076905,0.000713512,16.08406582,25464.14226,42413.65631,7919.826495,8211.217291,1274.246221,3146.420796,5341.698302,692.8983183,1277.694007,1372.570512,70.69654005,584.6939269,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,18163.60387,22704.50484,15581.24918,17875,82.24829889,4673.618418,979.2437497,0.040107331,0.430204595
650,700.8505081,10,0.1,25,0.76,0.27,78587.06594,120.8716104,34.76659465,6.207046947,21.75688987,30.21790259,0.601940915,0.037367232,0.023640642,0.013013077,0.000713512,16.10879056,25507.75646,42536.95405,8022.536843,8211.217291,1276.42871,3152.332374,5351.286837,693.4653434,1279.847441,1372.570512,70.81762691,584.7571675,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,18175.11188,22718.88986,15591.42122,17875,82.4198306,4675.65505,980.9400287,0.040133816,0.429923925
650,726.6670994,10,0.1,20,0.76,0.31,77998.92624,119.9704321,34.63674813,5.998050751,21.59467778,29.99260803,0.601940915,0.037789156,0.023592255,0.01251567,0.001681231,15.92893248,24418.11146,41941.55126,7739.137697,8211.217291,1266.912085,3126.555276,5112.038495,667.5016762,1270.45751,1372.570512,70.2896344,583.1771823,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,18182.37497,22727.96872,15595.47965,17875,81.25428465,4672.550636,968.219427,0.040021537,0.429812045
700,700.8505081,11,0.1,25,0.76,0.23,79091.81559,112.9547623,35.24914729,5.896350175,20.33185721,28.23869056,0.648244063,0.039928088,0.02513123,0.013824404,0.000972454,16.23528945,27645.33558,43025.70602,8176.466453,8211.217291,1192.825189,3174.41393,5822.461759,702.6641862,1197.356923,1372.570512,66.17921435,587.8566573,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,18191.10957,22738.88696,15606.68969,17875,83.82352717,4680.55149,997.44296,0.040285646,0.429503318
700,726.6670994,11,0.1,20,0.76,0.23,78328.52671,111.8691671,35.0793506,5.871688117,20.13645009,27.96729179,0.648244063,0.040499906,0.025057893,0.013333259,0.002108755,16.00606319,26406.91212,42256.59704,7766.28663,8211.217291,1181.361085,3140.973164,5549.191201,675.6536994,1186.045438,1372.570512,65.5431736,586.0609432,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,18196.92966,22746.16208,15608.8924,17875,82.4032691,4676.164928,982.1176894,0.040145789,0.429442707
650,700.8505081,10,0.1,25,0.76,0.31,78728.31607,121.0878894,34.79768518,6.022180682,21.79582008,30.27197234,0.601940915,0.037334238,0.023644027,0.012976698,0.000713512,16.12302667,25553.39821,42656.96507,8121.002842,8211.217291,1278.71266,3158.518774,5361.322221,694.0581868,1282.100985,1372.570512,70.94434289,584.8233481,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,18196.351,22745.43875,15609.81433,17875,82.58790255,4678.712259,982.6064752,0.040167331,0.429417343
700,700.8505081,11,0.1,25,0.76,0.27,79245.44306,113.1733683,35.28324037,5.715434788,20.37120629,28.29334207,0.648244063,0.039857988,0.025135155,0.013750379,0.000972454,16.26384302,27698.83875,43166.56747,8293.328468,8211.217291,1195.133713,3181.147894,5834.285558,703.3138881,1199.634714,1372.570512,66.30729373,587.9342369,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,18203.87559,22754.84449,15617.99283,17875,84.01961107,4682.835365,999.3872937,0.040315645,0.429192475
700,726.6670994,11,0.1,20,0.76,0.27,78466.6024,112.0658818,35.11017944,5.691089406,20.17185873,28.01647046,0.648244063,0.040434054,0.025063435,0.013261864,0.002108755,16.03213129,26453.34697,42383.48977,7872.010547,8211.217291,1183.438432,3147.032778,5559.423132,676.2213476,1188.09513,1372.570512,65.65842704,586.1282738,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,18208.11262,22760.14078,15618.80016,17875,82.5801585,4678.190376,983.8690709,0.040172586,0.42917029
