W_S,W_S_max,AR,t_c,sweep25,M,lambda,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,Cdw,E_crociera,T,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,maintenance_cost,DOC,PREE
600,641.2318448,9,0.1,25,0.76,0.23,84831.71816,141.3657602,35.66920018,7.281243216,25.44583683,35.34144004,0.555637768,0.034526188,0.021668847,0.012347253,0.000510088,16.09322668,25956.44775,43916.78144,8568.671615,8211.217291,1492.851087,3427.498346,5449.990234,710.6670913,1493.388616,1372.570512,82.82497131,585.4077699,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,19634.93672,24543.6709,16843.51987,21280,84.31842246,4953.122282,1036.181091,0.042494397,0.473772707
600,641.2318448,9,0.1,25,0.76,0.27,84934.60648,141.5371379,35.69081452,7.055631009,25.47668482,35.38428447,0.555637768,0.034471658,0.021668703,0.012292867,0.000510088,16.11868398,25928.02854,44017.65863,8667.212283,8211.217291,1494.660871,3432.023368,5443.735374,711.078778,1495.174306,1372.570512,82.92538003,585.3665621,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,19636.94785,24546.18482,16845.57919,21280,84.43390409,4953.979359,1037.213277,0.042507802,0.473714789
600,641.2318448,9,0.1,25,0.76,0.31,85057.66015,141.7416295,35.7165881,6.844490419,25.5134933,35.43540737,0.555637768,0.034441367,0.021669409,0.01226187,0.000510088,16.13286028,25931.01293,44124.46703,8763.059277,8211.217291,1496.820343,3437.422722,5444.392196,711.5696712,1497.30503,1372.570512,83.04518987,585.3708894,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,19653.19313,24566.49141,16859.70168,21280,84.56848878,4956.396528,1038.500113,0.042534082,0.473317983
600,664.8523177,9,0.1,20,0.76,0.23,84322.97076,140.5026775,35.5601476,7.261874327,25.29048195,35.12566937,0.555637768,0.03492579,0.021694938,0.011908587,0.001322265,15.90909675,25328.60334,43369.58759,8228.036268,8211.217291,1483.736759,3404.709705,5311.906749,684.5040791,1484.395626,1372.570512,82.31929867,584.4973955,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,19673.38318,24591.72897,16874.09751,21280,83.39725225,4953.748476,1025.957977,0.042426307,0.472914181
600,664.8523177,9,0.1,20,0.76,0.27,84413.33803,140.6493877,35.57870837,7.036346477,25.31688978,35.16234692,0.555637768,0.034874947,0.021696549,0.011856134,0.001322265,15.93229007,25297.89847,43459.55731,8317.418925,8211.217291,1485.286048,3408.583406,5305.15917,684.8456346,1485.92429,1372.570512,82.4052549,584.4528735,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,19673.78072,24592.2259,16874.73941,21280,83.49834126,4954.36299,1026.847119,0.042436975,0.472896191
600,664.8523177,9,0.1,20,0.76,0.31,84524.83195,140.834243,35.60208121,6.825393851,25.35016373,35.20856074,0.555637768,0.034847037,0.021698535,0.011826237,0.001322265,15.94505057,25298.26044,43556.26945,8404.753491,8211.217291,1487.238158,3413.464283,5305.238712,685.2757309,1487.85041,1372.570512,82.51355999,584.4533983,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,19688.5625,24610.70312,16887.58406,21280,83.61960205,4956.560288,1028.000742,0.04246075,0.472536508
650,664.8523177,9,0.1,20,0.76,0.23,83849.77702,128.9665107,34.06902694,6.99727902,23.21397193,32.24162768,0.601940915,0.038587862,0.022930582,0.01397605,0.001681231,15.59922941,26249.12303,42734.38907,7686.061641,8211.217291,1361.912499,3383.878265,5514.430807,657.0384473,1364.193196,1372.570512,75.56035874,585.8321491,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,19835.38795,24794.23494,17009.04927,21280,82.94557426,4967.045461,1023.800331,0.042505341,0.469162025
650,664.8523177,9,0.1,20,0.76,0.27,83959.768,129.1318308,34.09085621,6.780640487,23.24372954,32.2829577,0.601940915,0.038536527,0.022940806,0.01391449,0.001681231,15.6200095,26282.77136,42837.55338,7773.06912,8211.217291,1363.658313,3388.607089,5521.842317,657.4409067,1365.915768,1372.570512,75.65721833,585.8809391,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,19842.21462,24802.76828,17015.16856,21280,83.08765821,4968.432106,1025.229502,0.042525319,0.468993297
650,664.8523177,9,0.1,20,0.76,0.31,84079.35554,129.3148941,34.11501205,6.577619191,23.27668094,32.32872353,0.601940915,0.038508268,0.022947634,0.013879404,0.001681231,15.63147213,26320.03104,42939.26724,7856.89171,8211.217291,1365.591498,3393.843444,5530.049977,657.886247,1367.823217,1372.570512,75.76447353,585.9349657,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,19860.0883,24825.11037,17030.64236,21280,83.22919911,4970.992804,1026.661832,0.04255365,0.468567176
600,612.7312104,9,0.1,30,0.8,0.23,86067.46941,143.4191978,35.92732637,7.327098259,25.8154556,35.85479945,0.501463086,0.032841955,0.021537071,0.010524703,0.000780181,15.26897808,26988.33609,44798.82147,9101.171127,8211.217291,1514.535805,3481.716937,5677.389375,747.3710003,1514.784648,1372.570512,84.02806259,586.904008,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,19988.64794,24985.80992,17103.29118,21280,88.06571876,5164.910865,1067.695423,0.042105793,0.466576866
