W_S,S,S_wet,S_vert,S_orizz,b,lambda,c_root,c_tip,MAC,AR,t_c,sweep25,V_fuel,M,W_fuel,W_block_fuel,E_crociera,CD,Cd0,Cdi,Cdw,CL_crociera,CL_max,T,T_W,WTO,OEW,W_wing,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,ADP,flight_cost,maintenance_cost,DOC,PREE
600,143.6884351,294.4176035,25.86391832,35.92210877,35.9610333,0.27,7.102123714,1.917573403,5.0065312,9,0.1,30,25011.37658,0.8,20009.10126,17121.06,15.28753627,0.032802086,0.021543561,0.010478345,0.000780181,0.501463086,2.37472826,27039.00062,0.31362998,86229.75223,44940.65097,9218.162295,1517.379005,3488.825838,5688.568725,748.0413161,1517.589997,88.26674998,5168.146558,1069.702382,0.042141211,0.466092706
600,143.6327231,294.3034497,25.85389017,35.90818079,35.95406108,0.27,7.100923936,1.917249463,5.005685435,9,0.1,30,24962.26937,0.76,19969.81549,17130.48,16.07025491,0.034575542,0.021610174,0.012864659,0.000100708,0.555637768,2.37472826,27028.51686,0.31362998,86196.58378,44946.76828,9214.858144,1516.790676,3487.354828,5686.255328,747.9026648,1517.0095,86.00028663,4995.480077,1054.656058,0.042926009,0.465836218
600,143.9643787,294.9830119,25.91358816,35.99109467,35.99554706,0.31,6.89102288,2.136217093,4.931026601,9,0.1,30,25047.33032,0.8,20037.86425,17145.82,15.2980391,0.032779566,0.021547463,0.010451923,0.000780181,0.501463086,2.37472826,27090.92713,0.31362998,86395.96531,45078.10106,9330.154675,1520.293025,3496.111813,5700.027914,748.7276484,1520.465223,88.46249548,5172.283422,1071.662766,0.042182403,0.465419575
600,143.902197,294.8556016,25.90239546,35.97554925,35.98777255,0.31,6.889725846,2.135815012,4.930098479,9,0.1,30,24994.7319,0.76,19995.78552,17152.94,16.08342056,0.034547239,0.021614311,0.012832219,0.000100708,0.555637768,2.37472826,27079.22591,0.31362998,86358.92516,45083.13964,9326.368814,1519.636374,3494.469977,5697.445555,748.5730489,1519.817314,86.18863059,4999.120623,1056.564616,0.04296538,0.465226439
600,141.9914266,292.417144,25.55845679,35.49785666,35.74804665,0.23,7.295248614,1.677907181,5.072669077,9,0.12,30,25111.93918,0.76,20089.55134,17227.99,15.67564829,0.03544592,0.021923405,0.012921574,0.000600941,0.555637768,2.37472826,26719.66098,0.31362998,85207.42769,43837.87635,8257.37171,1499.458252,3444.018316,5618.127294,743.8052728,1499.90782,84.50292442,5001.267498,1039.699252,0.042860952,0.463199786
600,142.1901957,292.8264891,25.59423523,35.54754893,35.77305916,0.27,7.069780249,1.908840667,4.983731179,9,0.12,30,25123.80884,0.76,20099.04707,17236.4,15.69630249,0.035399278,0.021933678,0.012864659,0.000600941,0.555637768,2.37472826,26757.06495,0.31362998,85327.79738,43948.75031,8349.911051,1501.557294,3449.266577,5626.375296,744.3027983,1501.978918,84.65534264,5002.986003,1041.235393,0.042884043,0.462973727
600,142.4040033,293.2668045,25.6327206,35.60100084,35.79994455,0.31,6.858393451,2.12610197,4.907677879,9,0.12,30,25148.95025,0.76,20119.1602,17253.79,15.7075156,0.035374007,0.021940847,0.012832219,0.000600941,0.555637768,2.37472826,26797.29884,0.31362998,85456.57077,44057.41058,8438.849123,1503.815146,3454.911914,5635.248141,744.8375605,1504.206711,84.80596465,5005.826741,1042.760941,0.042915022,0.462506971
600,141.1215887,290.6257998,25.40188597,35.28039718,35.63838238,0.27,7.046611324,1.902585057,4.967398607,9,0.12,25,25183.87538,0.76,20147.1003,17274.76,15.4763966,0.03590227,0.02195184,0.012292867,0.001657563,0.555637768,2.485186583,25877.68728,0.305619283,84696.78959,43269.68929,7951.327003,1490.272587,3421.051296,5432.656687,710.0800878,1490.844443,83.47880437,5003.821332,1028.013202,0.042796158,0.46194556
600,140.9960972,290.3673627,25.3792975,35.24902431,35.62253325,0.23,7.272954395,1.672779511,5.057167042,9,0.12,25,25186.9323,0.76,20149.54584,17276.58,15.45419993,0.035953836,0.02194902,0.012347253,0.001657563,0.555637768,2.485186583,25913.92858,0.306319691,84621.65255,43192.10671,7872.037977,1488.947372,3417.737847,5440.632236,709.7781922,1489.53687,83.39509523,5003.591102,1027.301182,0.042789473,0.461897094
600,141.280833,290.9537476,25.43054995,35.32020826,35.65848423,0.31,6.83480001,2.118788003,4.890795061,9,0.12,25,25198.70619,0.76,20158.96495,17285.09,15.48824565,0.035874803,0.021955371,0.01226187,0.001657563,0.555637768,2.485186583,25872.92015,0.305218568,84792.84299,43353.87803,8028.549933,1491.95424,3425.255949,5431.607645,710.4629813,1492.503708,83.58254166,5005.625264,1028.988698,0.042815878,0.461669618
